file_name,file_path,status,stage,document_type,internal_code,total_chunks,error_message
CathayBox新功能有無違反個資法之虞.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/CathayBox新功能有無違反個資法之虞.docx,skipped_duplicate,version_check,legal_opinion,BATCH-E4B48A4CDAFB,0,
CathayBox新功能有無違反個資法之虞.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/CathayBox新功能有無違反個資法之虞.pdf,failed,text_extraction,legal_opinion,BATCH-E4B48A4CDAFB,0,scanned PDF or no extractable text found
R語言資料分析平台使用說明.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/R語言資料分析平台使用說明.pdf,skipped_duplicate,version_check,system_manual,BATCH-16ED536FABA2,0,
人工智慧(AI)服務應用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/人工智慧(AI)服務應用管理要點.docx,skipped_duplicate,version_check,internal_rule,BATCH-BE08FB1F3793,0,
以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1).docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1).docx,skipped_duplicate,version_check,legal_opinion,BATCH-FBCB2F9BD7AF,0,
以基富通會員資料註冊及代登入公司會員之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/以基富通會員資料註冊及代登入公司會員之適法性.pdf,failed,text_extraction,legal_opinion,BATCH-65D411EDD29F,0,scanned PDF or no extractable text found
參與集團資料共享管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/參與集團資料共享管理要點.docx,skipped_duplicate,version_check,internal_rule,BATCH-056B56D9D1A6,0,
商業分析工具使用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/商業分析工具使用管理要點.docx,skipped_duplicate,version_check,system_manual,BATCH-DB63520A40DB,0,
國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.docx,skipped_duplicate,version_check,internal_rule,BATCH-250665A7F956,0,
國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.pdf,failed,text_extraction,internal_rule,BATCH-250665A7F956,0,scanned PDF or no extractable text found
國泰金控暨子公司客戶資料共享政策.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金控暨子公司客戶資料共享政策.docx,skipped_duplicate,version_check,internal_rule,BATCH-E695F799373E,0,
國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點.pdf,skipped_duplicate,version_check,system_manual,BATCH-47C4A9FE18A4,0,
國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法.pdf,skipped_duplicate,version_check,internal_rule,BATCH-24EBDF49B2A4,0,
國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點.pdf,skipped_duplicate,version_check,internal_rule,BATCH-29BAD807561B,0,
國泰金融控股股份有限公司曁各子公司間資料共享管理辦法.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司曁各子公司間資料共享管理辦法.pdf,skipped_duplicate,version_check,internal_rule,BATCH-81BCC058FB39,0,
國泰金融控股股份有限公司資訊作業申請管理要點.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司資訊作業申請管理要點.pdf,skipped_duplicate,version_check,system_manual,BATCH-5C9E9296B11B,0,
大數據Hadoop平台管理辦法.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/大數據Hadoop平台管理辦法.docx,skipped_duplicate,version_check,system_manual,BATCH-6CDF26D94FF1,0,
客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.docx,skipped_duplicate,version_check,legal_opinion,BATCH-511E4640C186,0,
客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/客戶服務歷程事件以概括性文字提供予業務員有無違反個資法之虞.pdf,failed,text_extraction,legal_opinion,BATCH-511E4640C186,0,scanned PDF or no extractable text found
客戶資料共享政策 (1).docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/客戶資料共享政策 (1).docx,skipped_duplicate,version_check,internal_rule,BATCH-8345087155A2,0,
數據平台使用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/數據平台使用管理要點.docx,skipped_duplicate,version_check,system_manual,BATCH-511D1866BAA5,0,
數據暨人工智慧發展部-內部控制作業之處理程序 (1).docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/數據暨人工智慧發展部-內部控制作業之處理程序 (1).docx,skipped_duplicate,version_check,internal_rule,BATCH-09059AFF0822,0,
數據暨人工智慧發展部-自行查核工作底稿.xlsx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/數據暨人工智慧發展部-自行查核工作底稿.xlsx,skipped_unsupported,file_discovery,,,0,unsupported file extension: .xlsx
於NPS活動頁蒐集COOKIE模式之適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/於NPS活動頁蒐集COOKIE模式之適法性.docx,skipped_duplicate,version_check,legal_opinion,BATCH-285D2374AB11,0,
於NPS活動頁蒐集COOKIE模式之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/於NPS活動頁蒐集COOKIE模式之適法性.pdf,failed,text_extraction,legal_opinion,BATCH-285D2374AB11,0,scanned PDF or no extractable text found
查詢業務員自行輸入BOX APP客戶資料之適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/查詢業務員自行輸入BOX APP客戶資料之適法性.docx,skipped_duplicate,version_check,legal_opinion,BATCH-46F15FA2DFFA,0,
查詢業務員自行輸入BOX APP客戶資料之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/查詢業務員自行輸入BOX APP客戶資料之適法性.pdf,failed,text_extraction,legal_opinion,BATCH-46F15FA2DFFA,0,scanned PDF or no extractable text found
模糊化住院註記是否屬特種個資疑義 (002).pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/模糊化住院註記是否屬特種個資疑義 (002).pdf,skipped_duplicate,version_check,legal_opinion,BATCH-347CE1B6ED22,0,
機器學習平台使用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/機器學習平台使用管理要點.docx,skipped_duplicate,version_check,system_manual,BATCH-262A722B62D5,0,
確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.docx,skipped_duplicate,version_check,legal_opinion,BATCH-1B7FE8FA48C7,0,
確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/確認Smart Event 簽到系統與國泰人壽APP串接適法性問題.pdf,failed,text_extraction,legal_opinion,BATCH-1B7FE8FA48C7,0,scanned PDF or no extractable text found
評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.docx,skipped_duplicate,version_check,legal_opinion,BATCH-F965C52D51F3,0,
評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估將大腹翁小腹婆活動參加者資料用於其他數據分析研究之適法性.pdf,failed,text_extraction,legal_opinion,BATCH-F965C52D51F3,0,scanned PDF or no extractable text found
評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性.docx,skipped_duplicate,version_check,legal_opinion,BATCH-18B9AD22BA54,0,
評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/評估蒐集FB公開資料及運用客戶資料抓取FB ID適法性.pdf,failed,text_extraction,legal_opinion,BATCH-18B9AD22BA54,0,scanned PDF or no extractable text found
