file_name,file_path,status,stage,document_type,internal_code,total_chunks,claude_calls,input_tokens,output_tokens,total_tokens,markdown_path,chunks_path,usage_path,error_message
CathayBox新功能有無違反個資法之虞.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/CathayBox新功能有無違反個資法之虞.docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-E4B48A4CDAFB,5,1,1251,1731,2982,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-E4B48A4CDAFB__CathayBox新功能有無違反個資法之虞__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-E4B48A4CDAFB__CathayBox新功能有無違反個資法之虞__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-E4B48A4CDAFB__CathayBox新功能有無違反個資法之虞__docx.usage.json,
CathayBox新功能有無違反個資法之虞.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/CathayBox新功能有無違反個資法之虞.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
R語言資料分析平台使用說明.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/R語言資料分析平台使用說明.pdf,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-16ED536FABA2,9,1,3170,3853,7023,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-16ED536FABA2__R語言資料分析平台使用說明__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-16ED536FABA2__R語言資料分析平台使用說明__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-16ED536FABA2__R語言資料分析平台使用說明__pdf.usage.json,
人工智慧(AI)服務應用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/人工智慧(AI)服務應用管理要點.docx,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-BE08FB1F3793,22,1,4167,6638,10805,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-BE08FB1F3793__人工智慧(AI)服務應用管理要點__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-BE08FB1F3793__人工智慧(AI)服務應用管理要點__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-BE08FB1F3793__人工智慧(AI)服務應用管理要點__docx.usage.json,
以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1).docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1).docx,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-FBCB2F9BD7AF,4,1,1640,2087,3727,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-FBCB2F9BD7AF__以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1)__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-FBCB2F9BD7AF__以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1)__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-FBCB2F9BD7AF__以國壽客戶個資比對數位廣告平台用戶個資之適法性 (1)__docx.usage.json,
以基富通會員資料註冊及代登入公司會員之適法性.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/以基富通會員資料註冊及代登入公司會員之適法性.pdf,parsed_no_db,claude_chunking,legal_opinion,CLAUDE-BATCH-65D411EDD29F,9,3,5742,4597,10339,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-65D411EDD29F__以基富通會員資料註冊及代登入公司會員之適法性__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-65D411EDD29F__以基富通會員資料註冊及代登入公司會員之適法性__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-65D411EDD29F__以基富通會員資料註冊及代登入公司會員之適法性__pdf.usage.json,
參與集團資料共享管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/參與集團資料共享管理要點.docx,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-056B56D9D1A6,11,1,2846,4057,6903,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-056B56D9D1A6__參與集團資料共享管理要點__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-056B56D9D1A6__參與集團資料共享管理要點__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-056B56D9D1A6__參與集團資料共享管理要點__docx.usage.json,
商業分析工具使用管理要點.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/商業分析工具使用管理要點.docx,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-DB63520A40DB,11,1,2096,3200,5296,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-DB63520A40DB__商業分析工具使用管理要點__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-DB63520A40DB__商業分析工具使用管理要點__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-DB63520A40DB__商業分析工具使用管理要點__docx.usage.json,
國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.docx,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-250665A7F956,5,1,1258,1638,2896,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-250665A7F956__國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-250665A7F956__國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-250665A7F956__國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法__docx.usage.json,
國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰APP會員點選與我聯絡後，公司與其連絡是否違反個人資料保護法.pdf,skipped_duplicate_source,file_discovery,,,0,0,0,0,0,,,,matching DOCX exists; skipped PDF duplicate source
國泰金控暨子公司客戶資料共享政策.docx,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金控暨子公司客戶資料共享政策.docx,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-E695F799373E,9,1,2363,3171,5534,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-E695F799373E__國泰金控暨子公司客戶資料共享政策__docx.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-E695F799373E__國泰金控暨子公司客戶資料共享政策__docx.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-E695F799373E__國泰金控暨子公司客戶資料共享政策__docx.usage.json,
國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點.pdf,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-47C4A9FE18A4,30,1,10651,13470,24121,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-47C4A9FE18A4__國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-47C4A9FE18A4__國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-47C4A9FE18A4__國泰金融控股股份有限公司暨各子公司大數據Hadoop平台管理要點__pdf.usage.json,
國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法.pdf,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-24EBDF49B2A4,15,2,5168,4834,10002,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-24EBDF49B2A4__國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-24EBDF49B2A4__國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-24EBDF49B2A4__國泰金融控股股份有限公司暨各子公司間資料傳輸作業管理辦法__pdf.usage.json,
國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點.pdf,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-29BAD807561B,24,1,10184,12649,22833,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-29BAD807561B__國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-29BAD807561B__國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-29BAD807561B__國泰金融控股股份有限公司暨子公司人工智慧(AI)服務應用管理要點__pdf.usage.json,
國泰金融控股股份有限公司曁各子公司間資料共享管理辦法.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司曁各子公司間資料共享管理辦法.pdf,parsed_no_db,claude_chunking,internal_rule,CLAUDE-BATCH-81BCC058FB39,15,1,4868,6157,11025,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-81BCC058FB39__國泰金融控股股份有限公司曁各子公司間資料共享管理辦法__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-81BCC058FB39__國泰金融控股股份有限公司曁各子公司間資料共享管理辦法__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-81BCC058FB39__國泰金融控股股份有限公司曁各子公司間資料共享管理辦法__pdf.usage.json,
國泰金融控股股份有限公司資訊作業申請管理要點.pdf,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/raw/CathayBox新功能有無違反個資法之虞 copy/國泰金融控股股份有限公司資訊作業申請管理要點.pdf,parsed_no_db,claude_chunking,system_manual,CLAUDE-BATCH-5C9E9296B11B,22,2,5918,5844,11762,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/markdown/CLAUDE-BATCH-5C9E9296B11B__國泰金融控股股份有限公司資訊作業申請管理要點__pdf.md,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/chunks/CLAUDE-BATCH-5C9E9296B11B__國泰金融控股股份有限公司資訊作業申請管理要點__pdf.chunks.json,/Users/kuan/Desktop/AI-Agent-Cathay/audit-ai-db/data/processed/claude_pipeline/token_usage/CLAUDE-BATCH-5C9E9296B11B__國泰金融控股股份有限公司資訊作業申請管理要點__pdf.usage.json,
